,COMMA,COLON,SEMI,LPAREN,RPAREN,LBRACK,RBRACK,LBRACE,RBRACE,PERIOD,PLUS,MINUS,MULT,DIV,EQ,NEQ,LESSER,GREATER,LESSEREQ,GREATEREQ,AND,OR,ASSIGN,ARRAY,BREAK,DO,ELSE,FOR,FUNCTION,RETURN,IF,IN,LET,OF,THEN,TO,TYPE,VAR,INT,FLOAT,WHILE,ENDIF,BEGIN,END,ENDDO,ID,INTLIT,FLOATLIT,EOF
<TIGER_PROGRAM>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
<DECLARATION_SEGMENT>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,2,E,E,2,E,E,E,E,2,2,E,E,E,E,E,E,E,E,E,E,E
<TYPE_DECLARATION_LIST>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,3,E,E,3,E,E,E,E,4,3,E,E,E,E,E,E,E,E,E,E,E
<VAR_DECLARATION_LIST>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,5,E,E,5,E,E,E,E,E,6,E,E,E,E,E,E,E,E,E,E,E
<FUNC_DECLARATION_LIST>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,8,E,E,7,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
<TYPE_DECLARATION>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9,E,E,E,E,E,E,E,E,E,E,E,E
<TYPE>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,10,10,E,E,E,E,E,12,E,E,E
<TYPE_ID>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,13,14,E,E,E,E,E,E,E,E,E
<VAR_DECLARATION>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,15,E,E,E,E,E,E,E,E,E,E,E
<ID_LIST>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,16,E,E,E
<ID_LIST_TAIL>,17,18,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
<OPTIONAL_INIT>,E,E,20,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,19,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
<FUNC_DECLARATION>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,21,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
<PARAM_LIST>,E,E,E,E,23,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,22,E,E,E
<PARAM_LIST_TAIL>,24,E,E,E,25,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
<RET_TYPE>,E,26,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,27,E,E,E,E,E,E
<PARAM>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,28,E,E,E
<STAT_SEQ>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,29,E,E,29,E,29,29,E,E,E,E,E,E,E,E,E,29,E,E,E,E,29,E,E,E
<STAT_SEQ_CONT>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,30,E,31,30,E,30,30,E,E,E,E,E,E,E,E,E,30,31,E,31,31,30,E,E,E
<STAT>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,36,E,E,35,E,37,32,E,E,E,E,E,E,E,E,E,34,E,E,E,E,33,E,E,E
<STAT_ASSIGN_OR_FUNC>,38,E,38,39,38,38,38,E,E,E,38,38,38,38,38,38,38,38,38,38,38,38,38,E,E,38,E,E,E,E,E,E,E,E,38,38,E,E,E,E,E,E,E,E,E,E,E,E,E
<STAT_ASSIGN_RHS>,E,E,E,41,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,40,42,42,E
<EXPR_OR_FUNC_END>,43,E,43,44,43,43,43,E,E,E,43,43,43,43,43,43,43,43,43,43,43,43,43,E,E,43,E,E,E,E,E,E,E,E,43,43,E,E,E,E,E,E,E,E,E,E,E,E,E
<FUNC_CALL_END>,E,E,E,45,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
<IF_STAT>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,46,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
<IF_END>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,48,E,E,E,E,E,E,E,E,E,E,E,E,E,E,47,E,E,E,E,E,E,E
<EXPR>,E,E,E,49,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,49,49,49,E
<EXPR_PRIME>,51,E,51,E,51,E,51,E,E,E,E,E,E,E,E,E,E,E,E,E,E,50,E,E,E,51,E,E,E,E,E,E,E,E,51,51,E,E,E,E,E,E,E,E,E,E,E,E,E
<TERM1>,E,E,E,52,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,52,52,52,E
<TERM1_PRIME>,54,E,54,E,54,E,54,E,E,E,E,E,E,E,E,E,E,E,E,E,53,54,E,E,E,54,E,E,E,E,E,E,E,E,54,54,E,E,E,E,E,E,E,E,E,E,E,E,E
<TERM2>,E,E,E,55,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,55,55,55,E
<TERM2_PRIME>,57,E,57,E,57,E,57,E,E,E,E,E,E,E,E,E,56,56,56,56,57,57,E,E,E,57,E,E,E,E,E,E,E,E,57,57,E,E,E,E,E,E,E,E,E,E,E,E,E
<TERM3>,E,E,E,58,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,58,58,58,E
<TERM3_PRIME>,60,E,60,E,60,E,60,E,E,E,E,E,E,E,59,59,60,60,60,60,60,60,E,E,E,60,E,E,E,E,E,E,E,E,60,60,E,E,E,E,E,E,E,E,E,E,E,E,E
<TERM4>,E,E,E,61,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,61,61,61,E
<TERM4_PRIME>,63,E,63,E,63,E,63,E,E,E,62,62,E,E,63,63,63,63,63,63,63,63,E,E,E,63,E,E,E,E,E,E,E,E,63,63,E,E,E,E,E,E,E,E,E,E,E,E,E
<TERM5>,E,E,E,64,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,64,64,64,E
<TERM5_PRIME>,66,E,66,E,66,E,66,E,E,E,66,66,65,65,66,66,66,66,66,66,66,66,E,E,E,66,E,E,E,E,E,E,E,E,66,66,E,E,E,E,E,E,E,E,E,E,E,E,E
<FACTOR>,E,E,E,67,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,68,69,69,E
<PRIME_TERM>,E,E,76,E,E,E,E,E,E,E,74,74,75,75,73,73,72,72,72,72,71,70,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
<CONST>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,77,78,E
<INEQUALITY_OP>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,79,80,81,82,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
<EQUALITY_OP>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,83,84,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
<ADD_SUB_OP>,E,E,E,E,E,E,E,E,E,E,85,86,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
<MUL_DIV_OP>,E,E,E,E,E,E,E,E,E,E,E,E,87,88,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
<EXPR_LIST>,E,E,E,89,90,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,89,89,89,E
<EXPR_LIST_TAIL>,E,91,E,E,92,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
<LVALUE_TAIL>,94,E,94,E,94,93,94,E,E,E,94,94,94,94,94,94,94,94,94,94,94,94,94,E,E,94,E,E,E,E,E,E,E,E,94,94,E,E,E,E,E,E,E,E,E,E,E,E,E